protein,total_proteoforms
O00754-1,4
O14672-1,2
O43405-1,2
O43852-1,4
O75636-1,4
O75882-1,216
O95302-1,6
O95445-1,3
P00450-1,1000
P00734-1,80
P00736-1,2
P00738-1,1000
P00747-1,3
P00748-1,2
P00751-1,100
P01008-1,50
P01009-1,1000
P01011-1,1000
P01023-1,1000
P01024-1,7
P01031-1,2
P01033-1,9
P01042-1,325
P01591-1,11
P01857-2,43
P01859-2,11
P01860-2,2
P01861-2,17
P01871-2,170
P01876-2,2
P01877-2,36
P02675-1,14
P02679-1,17
P02745-1,5
P02748-1,4
P02749-1,150
P02750-1,135
P02751-15,1000
P02760-1,2
P02763-1,210
P02765-1,380
P02787-1,280
P02790-1,1000
P03951-1,3
P03952-1,300
P04003-1,8
P04004-1,270
P04114-1,1000
P04196-1,1000
P04217-1,60
P04278-1,2
P05090-1,80
P05154-1,3
P05155-1,384
P05156-1,48
P05160-1,4
P05543-1,4
P05546-1,27
P06681-1,4
P06756-1,2
P07339-1,2
P07357-1,2
P07358-1,2
P07602-1,2
P08185-1,4
P08603-1,1000
P09486-1,2
P09871-1,12
P0C0L5-1,32
P10253-1,3
P10909-1,1000
P11279-1,21
P12259-1,6
P13473-1,288
P14625-1,18
P15586-1,8
P16870-1,66
P19652-1,8
P19823-1,4
P19827-1,48
P20851-1,6
P23142-1,3
P25311-1,192
P26927-1,4
P27169-1,3
P27918-1,2
P29622-1,4
P35556-1,2
P36955-1,6
P43251-1,9
P43307-1,3
P43308-1,12
P43652-1,24
P46977-1,3
P48723-1,2
P48960-1,2
P49908-1,4
P51884-1,4
P55058-1,2
P80108-1,16
Q03591-1,2
Q08380-1,768
Q08722-1,4
Q12907-1,3
Q14108-1,3
Q14624-1,726
Q15165-2,4
Q15293-1,8
Q16769-1,3
Q5JTV8-1,3
Q6ZXV5-1,3
Q7Z4H8-1,4
Q8IWU5-1,40
Q8N766-1,3
Q8NFQ8-1,2
Q8NHP8-1,2
Q8TC99-1,5
Q8TCJ2-1,4
Q8TEM1-1,4
Q92542-1,18
Q92626-1,4
Q92820-1,5
Q969N2-1,3
Q96AY3-1,16
Q96HE7-1,5
Q96IY4-1,2
Q96JJ7-1,3
Q96KA5-1,3
Q96PD5-1,36
Q9BU23-1,4
Q9BWF2-1,3
Q9BYF1-1,1000
Q9H3G5-1,18
Q9HDC9-1,16
Q9NUM4-1,3
Q9NYU2-1,2
Q9UBV2-1,8
Q9UGM5-1,8
Q9UHG3-1,20
Q9Y4L1-1,25
